deutscher Name;wissenschaftlicher Name;Kategorie;;
Bindenkreuzschnabel;Loxia leucoptera;A;;
Stieglitz;Carduelis carduelis;A;;
Zitronenzeisig;Carduelis citrinella;A;;
Girlitz;Serinus serinus;A;;
Erlenzeisig;Spinus spinus;A;;
Tundraammern;Familie Calcariidae;;;
Spornammer;Calcarius lapponicus;A;;
Schneeammer;Plectrophenax nivalis;A;;
Ammern;Familie Emberizidae;;;
Grauammer;Emberiza calandra;A;;
Goldammer;Emberiza citrinella;A;;
Fichtenammer;Emberiza leucocephalos;A;;
Zippammer;Emberiza cia;A;;
Steinortolan;Emberiza buchanani;A;;
Türkenammer;Emberiza cineracea;B;;
Ortolan;Emberiza hortulana;A;;
Grauortolan;Emberiza caesia;A;;
Zaunammer;Emberiza cirlus;A;;
Zwergammer;Emberiza pusilla;A;;
Waldammer;Emberiza rustica;A;;
Weidenammer;Emberiza aureola;A;;
Kappenammer;Emberiza melanocephala;A;;
Braunkopfammer;Emberiza bruniceps;BD;;
Maskenammer;Emberiza spodocephala;A;;
Rohrammer;Emberiza schoeniclus;A;;
Waldsänger;Familie Parulidae;;;
Meisenwaldsänger;Setophaga americana;Ao;;
Grünmantel-Waldsänger;Setophaga virens;B;;



Anhang 1;Arten der Kategorie D;;;

Gluckente;Sibirionetta formosa;D;;
Sichelente;Mareca falcata;D;;
Chileflamingo;Phoenicopterus chilensis;D;;
Schmuckreiher;Egretta thula;D;;
Singammer;Melospiza melodia;D;;



Anhang 2;Arten  der Kategorie E (Auswahl);;;

Nandu;Rhea americana;E;;
Truthuhn;Meleagris gallopavo;E;;
Rothuhn;Alectoris rufa;E;;
Zwergkanadagans;Branta hutchinsii;E;;
Zwergschneegans;Anser rossii;E;;
Schneegans;Anser caerulescens;E;;
Höckergans;Anser cygnoid f. domestica;E;;
Schwarzschwan;Cygnus atratus;E;;
Moschusente;Cairina moschata;E;;
Brautente;Aix sponsa;E;;
Rotschulterente;Callonetta leucophrys;E;;
Indien-Fleckschnabelente;Anas poecilorhyncha;E;;
Dunkelente;Anas rubripes;E;;
Bahamaente;Anas bahamensis;E;;
Riesentafelente;Aythya valisineria;E;;
Rotkopfente;Aythya americana;E;;
Büffelkopfente;Bucephala albeola;E;;
Kappensäger;Lophodytes cucullatus;E;;
Spießflughuhn;Pterocles alchata;E;;
Palmtaube;Spilopelia senegalensis;E;;
Kubaflamingo;Phoenicopterus ruber;E;;
Zwergflamingo;Phoeniconaias minor;E;;
Spornkiebitz;Vanellus spinosus;E;;
Ohrenscharbe;Phalacrocorax auritus;E;;
Pharaonenibis;Threskiornis aethiopicus;E;;
Waldrapp;Geronticus eremita;E;;
Rotgesichtlöffler;Platalea alba;E;;
Schwarzhalsreiher;Ardea melanocephala;E;;
Dreifarbenreiher;Egretta tricolor;E;;
Küstenreiher;Egretta gularis;E;;
Rötelpelikan;Pelecanus rufescens;E;;
Sperbergeier;Gyps rueppelli;E;;
Bindenseeadler;Haliaeetus leucoryphus;E;;
Weißkopf-Seeadler;Haliaeetus leucocephalus;E;;
Riesenseeadler;Haliaeetus pelagicus;E;;
Virginiauhu;Bubo virginianus;E;;
Buntfalke;Falco sparverius;E;;
Lannerfalke;Falco biarmicus;E;;
Gelbkopfamazone;Amazona oratrix;E;;
Blaustirnamazone;Amazona aestiva;E;;
Alexandersittich;Psittacula eupatria;E;;
Azurelster;Cyanopica cyanus;E;;
Elsterdohle;Coloeus dauuricus;E;;
Bergkalanderlerche;Melanocorypha bimaculata;E;;
Hirtenmaina;Acridotheres tristis;E;;
Mongolenstar;Agropsar sturninus;E;;
Amurdrossel;Turdus hortulorum;E;;
Fahldrossel;Turdus pallidus;E;;
Rußschnäpper;Muscicapa sibirica;E;;
Saharasteinschmätzer;Oenanthe leucopyga;E;;
Meisengimpel;Carpodacus sibiricus;E;;
Wiesenammer;Emberiza cioides;E;;
Gelbkehlammer;Emberiza elegans;E;;
Fuchsammer;Passerella iliaca;E;;
Dachsammer;Zonotrichia leucophrys;E;;
Weißkehlammer;Zonotrichia albicollis;E;;
Braunkopf-Kuhstärling;Molothrus ater;E;;
Rosenbrust-Kernknacker;Pheucticus ludovicianus;E;;
Indigofink;Passerina cyanea;E;;
Lazulifink;Passerina amoena;E;;
© 2019 Deutsche Ornithologen-Gesellschaft e.V., Radolfzell

Diese Excel-Tabelle kann für eigene Zwecke verwendet und bearbeitet werden, veränderte oder bearbeitete Versionen dürfen aber nicht an Dritte weitergegeben werden. 
Das Original steht frei verfügbar auf der Website der DO-G www.do-g.de zum Download bereit.
Die DO-G übernimmt keine Verantwortung für den Inhalt bearbeiteter, ergänzter oder veränderter Versionen dieser Tabelle. 
