deutscher Name;wissenschaftlicher Name;Kategorie;;
Tundra-Goldregenpfeifer;Pluvialis fulva;A;;
Prärie-Goldregenpfeifer;Pluvialis dominica;A;;
Kiebitzregenpfeifer;Pluvialis squatarola;A;;
Sandregenpfeifer;Charadrius hiaticula;A;;
Flussregenpfeifer;Charadrius dubius;A;;
Seeregenpfeifer;Charadrius alexandrinus;A;;
Wüstenregenpfeifer;Charadrius leschenaultii;A;;
Wermutregenpfeifer;Charadrius asiaticus;B;;
Mornellregenpfeifer;Charadrius morinellus;A;;
Schnepfenverwandte;Familie Scolopacidae;;;
Prärieläufer;Bartramia longicauda;B;;
Regenbrachvogel;Numenius phaeopus;A;;
Dünnschnabel-Brachvogel;Numenius tenuirostris;B;;
Brachvogel;Numenius arquata;A;;
Pfuhlschnepfe;Limosa lapponica;A;;
Uferschnepfe;Limosa limosa;A;;
Steinwälzer;Arenaria interpres;A;;
Anadyrknutt;Calidris tenuirostris;Ao;;
Knutt;Calidris canutus;A;;
Kampfläufer;Calidris pugnax;A;;
Sumpfläufer;Calidris falcinellus;A;;
Spitzschwanz-Strandläufer;Calidris acuminata;A;;
Bindenstrandläufer;Calidris himantopus;A;;
Sichelstrandläufer;Calidris ferruginea;A;;
Temminckstrandläufer;Calidris temminckii;A;;
Langzehen-Strandläufer;Calidris subminuta;A;;
Rotkehl-Strandläufer;Calidris ruficollis;Ao;;
Sanderling;Calidris alba;A;;
Alpenstrandläufer;Calidris alpina;A;;
Meerstrandläufer;Calidris maritima;A;;
Bairdstrandläufer;Calidris bairdii;A;;
Zwergstrandläufer;Calidris minuta;A;;
Wiesenstrandläufer;Calidris minutilla;A;;
Weißbürzel-Strandläufer;Calidris fuscicollis;A;;
Grasläufer;Calidris subruficollis;A;;
Graubrust-Strandläufer;Calidris melanotos;A;;
Sandstrandläufer;Calidris pusilla;A;;
Tundraschlammläufer;Limnodromus scolopaceus;A;;
Moorschlammläufer;Limnodromus griseus;Ao;;
Waldschnepfe;Scolopax rusticola;A;;
Zwergschnepfe;Lymnocryptes minimus;A;;
Doppelschnepfe;Gallinago media;A;;
Bekassine;Gallinago gallinago;A;;
Terekwasserläufer;Xenus cinereus;A;;
Wilsonwassertreter;Phalaropus tricolor;A;;
Odinshühnchen;Phalaropus lobatus;A;;
Thorshühnchen;Phalaropus fulicarius;A;;
Flussuferläufer;Actitis hypoleucos;A;;
Drosseluferläufer;Actitis macularius;A;;
Waldwasserläufer;Tringa ochropus;A;;
Gelbschenkel;Tringa flavipes;A;;
Rotschenkel;Tringa totanus;A;;
Teichwasserläufer;Tringa stagnatilis;A;;
Bruchwasserläufer;Tringa glareola;A;;
Dunkelwasserläufer;Tringa erythropus;A;;
Grünschenkel;Tringa nebularia;A;;
Brachschwalbenverwandte;Familie Glareolidae;;;
Rennvogel;Cursorius cursor;A;;
Rotflügel-Brachschwalbe;Glareola pratincola;A;;
Schwarzflügel-Brachschwalbe;Glareola nordmanni;A;;
Möwenverwandte;Familie Laridae;;;
Noddi;Anous stolidus;B;;
Dreizehenmöwe;Rissa tridactyla;A;;
Elfenbeinmöwe;Pagophila eburnea;A;;
Schwalbenmöwe;Xema sabini;A;;
Dünnschnabelmöwe;Chroicocephalus genei;A;;
Bonapartemöwe;Chroicocephalus philadelphia;A;;
Lachmöwe;Chroicocephalus ridibundus;A;;
Zwergmöwe;Hydrocoloeus minutus;A;;
Rosenmöwe;Rhodostethia rosea;A;;
